tweet_id,hashtags,full_text,user_name,user_location,tweet_favourites,tweet_sentiment_tb,tweet_sentiment_vs,user_verified,user_followers_count
7666,,"@rihanna This is internal issue , India is great Democratic country here people voice is more than everything, I think this in non off ur business",Prashant Rathod,"Karnataka, India",0,0.43333333333333335,0.6249,False,15
9617,,@rihanna U saw react of indian media ?? 😂😂😂thanks for provide unforgotable comedy 😂😂😂❤frm 🇵🇰🌹💐💐💐,🌟 007,Mareekh,0,0.0,-0.7399,False,15
1053,askindiawhy,@rihanna Thanks for raising this issue. @TheDailyShow why are you not taking this up on your daily show ?? Narcissistic regime in India and police brutality by Delhi police. Human rights violations #askindiawhy #IStandWithFarmers #FarmersProtest,CD_,Omnipresent,0,0.06666666666666667,-0.7059,False,169
6782,,@rihanna https://t.co/kZGeXZd0eM,Jay rajput,Nashik,0,0.0,0.0,False,9
6134,,@rihanna 🇮🇳,Anurag Jyoti Limbu,"Biswanath Chariali, India",0,0.0,0.0,False,7
6134,,@rihanna 🇮🇳,Anurag Jyoti Limbu,"Biswanath Chariali, India",0,0.0,0.0,False,7
6134,,@rihanna 🇮🇳,Anurag Jyoti Limbu,"Assam, India",0,0.0,0.0,False,7
6134,,@rihanna 🇮🇳,Anurag Jyoti Limbu,"Assam, India",0,0.0,0.0,False,7
3257,,@rihanna Nee podi pulle ... Ninte tharavatil pooy ammayikku kanji vachu kodukee adyam  ! Try doing something in good in life not for CHEAP publicity !,MuraliApolitical,"Coimbatore, India",0,0.6,0.5399,False,10
8868,,@rihanna Nice ji,Nabha jatt,"Punjab, India",0,0.6,0.4215,False,0
2258,Standwithfarmer,@rihanna #Standwithfarmer,HimanshuFatehabad,"Fatehabad, India",0,0.0,0.0,False,13
5360,india,"@rihanna As a woman from #india, I sincerely apologize for the inappropriate comments or abuse you came across just because you addressed an issue of our country. We sometimes forget the dignity of a woman or the efforts she puts into her work. #Indianwomen @rihanna",Ayushi,"New Delhi, India",0,0.5,0.0258,False,1
9134,,@rihanna thank you mam,manpreet singh,"Jalandhar, India",0,0.0,0.3612,False,19
8138,StandWithFarmers,@rihanna #StandWithFarmers,Bushair Ahmed,Abu Dhabi,0,0.0,0.0,False,10
3968,,@rihanna Thank you. 🇮🇳🇮🇳,Irfan,"Kerala, India",0,0.0,0.3612,False,2
3944,MindYourOwn,"@rihanna #MindYourOwn Business, maam. We have a billion plus folks here, We know what to do. #GivingFreeLectures via social media is easy. Please focus and do work and legwork (vs social media publicity) on your nearby communities please !!!",Ranjeesh K R,"Bengaluru South, India",1,0.17725694444444443,0.8114,False,49
2894,,"@rihanna Riri, Can you write please ""we won't look down""",Bastet,"Mersin, Türkiye",0,-0.15555555555555559,0.3182,False,1081
9748,protestfarmers,@rihanna #protestfarmers,Aswad,"West Bengal, India",0,0.0,0.0,False,1
1380,FarmersProtest,"@rihanna I live in India and i hate to live here. I somehow feel that india is becoming the next china or north korea.
I am supporting farmers.
#FarmersProtest
#DemocracyIsInDangerInIndia",Roshan M R,Kozhikode ,0,0.02878787878787878,-0.2023,False,0
