text,frequency,avg_sentiment_tb,avg_sentiment_vs,%age_share
flexed biceps,28,0.10223214285714285,0.26512857142857144,0.003907885554780182
folded hands,514,0.1358789266109309,0.41420972762645947,0.07173761339846475
folded hands: light skin tone,99,0.3356750194250192,0.36793030303030283,0.013817166782972784
folded hands: medium-light skin tone,35,0.09233333333333335,0.3375828571428572,0.004884856943475227
follow,23,0.12614706851119895,0.32593478260869563,0.003210048848569435
food,36,0.08795509660092996,0.1933722222222222,0.005024424284717376
fuck,28,-0.2479166988765203,-0.26753571428571427,0.003907885554780182
full,25,0.26253135435992575,0.18250000000000002,0.0034891835310537334
get,144,0.1061731576679493,0.08284166666666665,0.020097697138869504
girl,44,0.14712548444107898,0.20546363636363638,0.006140963014654571
give,61,0.11947844960140046,0.3800672131147541,0.00851360781577111
global,21,0.03517290249433106,0.1900857142857143,0.0029309141660851363
go,96,0.059440603016774875,0.022164583333333338,0.013398464759246336
god,113,0.24308663435875824,0.7415132743362836,0.015771109560362876
good,221,0.6183124555183384,0.49029683257918466,0.030844382414515002
government,182,0.052619141487763935,0.049387362637362625,0.02540125610607118
govt,82,0.031939513914552034,0.059251219512195134,0.011444521981856245
great,129,0.5899910861102716,0.6581015503875962,0.018004187020237265
gretathunberg,24,0.007353670634920639,0.11690833333333332,0.003349616189811584
hai,43,0.07156699889258028,0.10682093023255815,0.006001395673412422
happen,55,0.047228859208972844,-0.05846909090909091,0.007676203768318213
heart,35,0.1840122139764997,0.7017514285714287,0.004884856943475227
heart suit,57,0.16653996101364524,0.6206929824561404,0.007955338450802513
hell,24,-0.049764384920634924,-0.6082249999999999,0.003349616189811584
help,57,0.1616777634321494,0.43479649122807035,0.007955338450802513
hi,25,0.07603333333333333,0.07151999999999996,0.0034891835310537334
https,836,0.03489646488020441,0.056018779904306176,0.11667829727843684
huge,22,0.2410497835497836,0.5996818181818182,0.0030704815073272856
human,110,0.08362546406590644,0.06619090909090908,0.015352407536636426
humanity,43,0.19228657001912816,0.3807627906976744,0.006001395673412422
ignore,26,0.015730212248069392,0.04898076923076925,0.0036287508722958827
india,620,0.09287203675580703,0.13797870967741924,0.08653175157013258
indiaagainstpropaganda,61,0.07970489437702552,0.14305573770491806,0.00851360781577111
indian,494,0.12563962387240865,0.2818993927125506,0.06894626657362177
